"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.380991061E0,2.376511097E0,3.919427872E0,4.652967453E0,6.531448993E0
1.386026462E0,2.164106369E0,4.157253742E0,5.499323845E0,7.225557266E0
1.391061862E0,1.864316463E0,4.319126129E0,6.119005680E0,7.718338999E0
1.396127780E0,1.407523751E0,4.398623466E0,6.894011497E0,8.297976021E0
1.401163181E0,6.985023022E-1,4.713752270E0,8.345661163E0,9.610277113E0
1.406198581E0,-2.920424938E-1,5.058894157E0,9.207148552E0,1.050948540E1
1.411264499E0,-1.078812122E0,5.271310329E0,9.765480995E0,1.114967117E1
1.416299899E0,-1.601572752E0,5.433495998E0,1.006864738E1,1.155273016E1
1.421335300E0,-2.049011946E0,5.654977322E0,9.896187782E0,1.158066281E1
1.426401218E0,-2.273913145E0,5.869228840E0,9.461883545E0,1.136423198E1
1.431436618E0,-2.298819542E0,6.015182018E0,8.873515129E0,1.096386140E1
1.436472018E0,-2.029641151E0,6.101397514E0,8.190447807E0,1.041296932E1
1.441537936E0,-1.533527255E0,6.183804035E0,7.386042595E0,9.754217724E0
1.446573337E0,-8.452026844E-1,6.360900402E0,6.629483223E0,9.226346477E0
1.451639255E0,-2.044121027E-1,6.604176998E0,5.822326660E0,8.806612622E0
1.456674655E0,3.839251995E-1,6.814267159E0,5.083260536E0,8.510063052E0
1.461710056E0,8.091031313E-1,7.102252960E0,4.489998817E0,8.441370408E0
1.466745456E0,1.056426287E0,7.442829609E0,4.046004295E0,8.537089659E0
1.471811374E0,1.257045984E0,7.652819157E0,3.793141365E0,8.633291786E0
1.476846774E0,1.444619894E0,7.690381050E0,3.761090279E0,8.681859675E0
1.481882175E0,1.604966044E0,7.661030769E0,3.958287239E0,8.771279628E0
1.486948093E0,1.630268097E0,7.597890854E0,4.429327011E0,8.944532255E0
1.491983493E0,1.635085702E0,7.381258011E0,5.149373055E0,9.147268332E0
1.497018893E0,1.715625763E0,7.086754799E0,5.934471130E0,9.401245286E0
1.502084811E0,1.891124725E0,6.739386559E0,6.637355804E0,9.646251914E0
1.507120212E0,2.145735264E0,6.393215656E0,7.177644730E0,9.848653213E0
1.512155612E0,2.269441605E0,6.054074764E0,7.647416115E0,1.001424783E1
1.517221530E0,2.321372509E0,5.708906651E0,7.940539360E0,1.005149495E1
1.522256931E0,2.428804874E0,5.372175694E0,7.859909058E0,9.825351658E0
1.527292331E0,2.654203415E0,5.055600643E0,7.557718277E0,9.472222505E0
1.532358249E0,2.926509142E0,4.682713509E0,7.073331833E0,8.973532458E0
1.537393649E0,3.242197990E0,4.446415424E0,6.368360519E0,8.416559489E0
1.542429050E0,3.519701719E0,4.294393539E0,5.572145462E0,7.866315600E0
1.547494968E0,3.859210730E0,4.150973320E0,4.822953224E0,7.442107548E0
1.552530368E0,4.147553444E0,4.025646210E0,4.128722191E0,7.103124236E0
1.557565768E0,4.298264980E0,3.974261284E0,3.491096497E0,6.815980439E0
1.562631686E0,4.346700191E0,3.982722759E0,3.014665604E0,6.621487132E0
1.567667087E0,4.344323635E0,3.999776840E0,2.760084152E0,6.518391454E0
1.572702487E0,4.154731274E0,3.877120495E0,2.624312401E0,6.259462506E0
1.577768405E0,3.856912851E0,3.576285839E0,2.664848328E0,5.896355973E0
1.582803806E0,3.798633099E0,3.374959469E0,2.847665787E0,5.824874700E0
1.587839206E0,3.481017590E0,3.099468708E0,3.066468239E0,5.579195031E0
1.592905124E0,2.606270075E0,2.214272976E0,3.133822441E0,4.638587243E0
1.597940524E0,2.463035107E0,1.687871933E0,3.186302185E0,4.366689274E0
1.602975925E0,2.622507095E0,1.481585979E0,3.206942558E0,4.399672835E0
1.608041843E0,2.563408613E0,1.193150520E0,3.239924908E0,4.300207587E0
1.613077243E0,2.305919647E0,5.522947311E-1,2.895174026E0,3.742235633E0
1.618143161E0,2.257077217E0,-5.550332069E-1,2.169601440E0,3.179564410E0
1.623178561E0,2.698603630E0,-1.443068027E0,1.644372463E0,3.474027588E0
1.628213962E0,3.053770065E0,-1.697599411E0,1.357142925E0,3.748225219E0
1.633249362E0,3.244074345E0,-1.780852795E0,1.099409580E0,3.860590169E0
1.638315280E0,3.461249352E0,-2.065835476E0,4.943585396E-1,4.061072968E0
1.643350681E0,3.669993401E0,-2.471344471E0,-2.375049591E-1,4.430891971E0
1.648416598E0,3.907188892E0,-2.837229729E0,-1.026621819E0,4.936592948E0
1.653451999E0,4.131672859E0,-3.020262718E0,-1.974184990E0,5.485445641E0
1.658487399E0,4.217112541E0,-2.898242950E0,-2.873652458E0,5.868707595E0
1.663522800E0,4.211531639E0,-2.664020538E0,-3.631881714E0,6.166406487E0
1.668588718E0,4.219815254E0,-2.575008392E0,-4.164669991E0,6.463898601E0
1.673624118E0,4.446839333E0,-2.877184868E0,-4.618926525E0,7.027592408E0
