"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.245561244E0,-3.391754627E-1,-1.233728170E0,-2.260834694E0,2.597787271E0
1.250596645E0,-3.275000453E-1,-1.231697083E0,-2.398544312E0,2.716127537E0
1.255632045E0,-3.571435213E-1,-1.252819061E0,-2.440974236E0,2.766850613E0
1.260697963E0,-3.375474811E-1,-1.249329805E0,-2.381400108E0,2.710319122E0
1.265763881E0,-3.788721561E-1,-1.280641556E0,-2.203601837E0,2.576712627E0
1.270829799E0,-4.526014328E-1,-1.306320190E0,-2.039174080E0,2.463645962E0
1.275865199E0,-5.390061140E-1,-1.316972017E0,-1.973909378E0,2.433364156E0
1.280931117E0,-5.687135458E-1,-1.394208908E0,-1.871417046E0,2.401969054E0
1.285936000E0,-6.108347178E-1,-1.492272377E0,-1.767661095E0,2.392618157E0
1.291001918E0,-6.268577576E-1,-1.532853127E0,-1.693554878E0,2.368695312E0
1.296037319E0,-7.193823457E-1,-1.596842527E0,-1.620488167E0,2.386084432E0
1.301072719E0,-7.595760822E-1,-1.655581474E0,-1.553171158E0,2.393793326E0
1.306108119E0,-7.692063451E-1,-1.694768667E0,-1.453446388E0,2.361445667E0
1.311174037E0,-8.083638549E-1,-1.733381510E0,-1.359586716E0,2.346601717E0
1.316239955E0,-8.896093369E-1,-1.718835354E0,-1.195254326E0,2.274737930E0
1.321275356E0,-9.562941790E-1,-1.653957367E0,-1.022647858E0,2.166998424E0
1.326341274E0,-9.705613852E-1,-1.651095390E0,-8.942079544E-1,2.113696586E0
1.331376674E0,-1.005247712E0,-1.605689526E0,-6.688785553E-1,2.009019745E0
1.336412074E0,-9.819628000E-1,-1.558827400E0,-5.043220520E-1,1.910113750E0
1.341447475E0,-9.392514229E-1,-1.510847092E0,-3.262987137E-1,1.808679911E0
1.346482875E0,-8.674463034E-1,-1.509932756E0,-2.587747574E-1,1.760489816E0
1.351518276E0,-7.237559557E-1,-1.460874796E0,-2.034492493E-1,1.642975791E0
1.356553676E0,-5.771847963E-1,-1.435742140E0,-1.697816849E-1,1.556702798E0
1.361619594E0,-4.297749996E-1,-1.425000429E0,-1.170997620E-1,1.492998703E0
1.366685512E0,-3.411304355E-1,-1.345343351E0,-5.259609222E-2,1.388915064E0
1.371720912E0,-2.752249241E-1,-1.257234335E0,1.287336349E-1,1.293429272E0
1.376786830E0,-1.892092228E-1,-1.192100525E0,1.594257355E-1,1.217505793E0
1.381852748E0,-1.309489608E-1,-1.107399940E0,1.784667969E-1,1.129306272E0
1.386888149E0,-6.681114435E-2,-9.889705181E-1,2.121524811E-1,1.013674055E0
1.391923549E0,-4.011631012E-3,-9.397776127E-1,1.817607880E-1,9.572016708E-1
1.396989467E0,6.938731670E-2,-8.428070545E-1,8.755397797E-2,8.501788223E-1
1.401994350E0,1.343764365E-1,-7.436852455E-1,-2.251911163E-2,7.560634110E-1
1.407029750E0,1.860726774E-1,-6.754670143E-1,-1.961603165E-1,7.275696520E-1
1.412095668E0,1.480512321E-1,-6.141386032E-1,-2.685642242E-1,6.864489302E-1
1.417161586E0,1.925105751E-1,-5.023744106E-1,-4.047079086E-1,6.732227427E-1
1.422227504E0,2.165331841E-1,-4.308798313E-1,-6.019868851E-1,7.713185196E-1
1.427262905E0,2.202554643E-1,-3.824374676E-1,-7.886915207E-1,9.037727596E-1
1.432298305E0,1.896692812E-1,-2.731056213E-1,-9.649562836E-1,1.020637911E0
1.437364223E0,1.345306337E-1,-1.767845154E-1,-1.180974960E0,1.201687610E0
1.442399623E0,6.730854511E-2,-1.001000404E-1,-1.384202957E0,1.389448914E0
1.447435024E0,6.230828166E-2,4.969120026E-3,-1.560478210E0,1.561729573E0
1.452500942E0,1.916849613E-2,1.126303673E-1,-1.721933365E0,1.725719428E0
1.457505824E0,1.963001490E-2,1.541893482E-1,-1.801934242E0,1.808625640E0
1.462571742E0,3.973528743E-2,1.298298836E-1,-1.891448021E0,1.896314928E0
1.467637660E0,-1.348766685E-2,1.665534973E-1,-1.897476196E0,1.904819650E0
1.472642543E0,-5.575039983E-2,2.188210487E-1,-1.844174385E0,1.857947771E0
1.477708461E0,-1.260454357E-1,2.218289375E-1,-1.753154755E0,1.771622737E0
1.482743862E0,-1.430543959E-1,2.804744244E-1,-1.748538971E0,1.776659505E0
1.487809780E0,-1.355210245E-1,3.086631298E-1,-1.720293045E0,1.753010849E0
1.492875697E0,-1.941090226E-1,3.806200027E-1,-1.687612534E0,1.740857824E0
1.497911098E0,-1.872876585E-1,4.009172916E-1,-1.672022820E0,1.729587133E0
1.502946498E0,-2.323646247E-1,4.627959728E-1,-1.625769615E0,1.706253285E0
1.508012416E0,-2.528621256E-1,4.898061752E-1,-1.599032402E0,1.691376353E0
1.513047817E0,-2.229849696E-1,5.226051807E-1,-1.513024330E0,1.616193397E0
1.518083217E0,-2.574906051E-1,5.325446129E-1,-1.415620804E0,1.534238390E0
1.523149135E0,-2.442905903E-1,5.219910145E-1,-1.240049362E0,1.367433703E0
1.528184535E0,-2.242014110E-1,5.291047096E-1,-1.081964493E0,1.225098049E0
1.533219936E0,-1.756016016E-1,5.320515633E-1,-9.269399643E-1,1.083112407E0
1.538255336E0,-8.412253857E-2,4.780027866E-1,-8.130598068E-1,9.469052302E-1
1.543290737E0,-6.922709942E-2,4.551501274E-1,-6.733322144E-1,8.156778167E-1
1.548356655E0,-7.384830713E-2,4.155011177E-1,-5.340003967E-1,6.806255762E-1
1.553422572E0,-1.169226170E-1,4.137842655E-1,-4.690170288E-1,6.362902561E-1
1.558457973E0,-1.123938262E-1,3.756566048E-1,-4.709129333E-1,6.127880936E-1
1.563523891E0,-2.012919188E-1,3.634538651E-1,-3.509712219E-1,5.438730984E-1
1.568528774E0,-2.804283500E-1,3.575286865E-1,-2.694234848E-1,5.282573571E-1
1.573594692E0,-2.902231812E-1,2.935154438E-1,-4.027032852E-1,5.766721309E-1
1.578660610E0,-2.972112894E-1,2.839622498E-1,-4.901094437E-1,6.396689586E-1
1.583696010E0,-3.436830640E-1,3.074526787E-1,-4.602642059E-1,6.515276950E-1
1.588731410E0,-3.912774920E-1,2.781572342E-1,-5.235996246E-1,7.103703890E-1
1.593797328E0,-4.038365483E-1,2.798037529E-1,-5.104255676E-1,7.084549089E-1
1.598832729E0,-4.050196409E-1,2.789986134E-1,-5.618124008E-1,7.466688084E-1
1.603898647E0,-4.236535430E-1,2.855546474E-1,-5.296335220E-1,7.358909218E-1
1.608934047E0,-5.218429565E-1,3.592352867E-1,-4.857892990E-1,7.983491126E-1
1.613969447E0,-5.371998549E-1,4.068815708E-1,-4.279289246E-1,7.982853257E-1
1.619004848E0,-5.063589811E-1,4.499175549E-1,-3.011503220E-1,7.412939635E-1
1.624040248E0,-5.372275114E-1,4.216122627E-1,-1.175956726E-1,6.929639538E-1
1.629106166E0,-5.536831617E-1,3.912806511E-1,3.190994263E-2,6.787369416E-1
1.634172084E0,-4.917159379E-1,3.587191105E-1,2.000522614E-1,6.406909325E-1
