"Time (s)","Latitude","Longitude","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.125802064E2,6.506663043E1,2.549103642E1,1.071409663E1,2.819873047E1,9.200000167E-1,3.116000061E2,3.139244642E-2,9.648000717E0,4.000000000E0,2.500000000E1
1.135821262E2,6.506664082E1,2.549103094E1,1.070859907E1,2.819323730E1,0.000000000E0,NaN,3.170117784E-2,9.648000717E0,4.000000000E0,2.500000000E1
1.145793213E2,6.506664359E1,2.549103139E1,1.072959421E1,2.821423340E1,0.000000000E0,NaN,3.190697921E-2,9.648000717E0,4.000000000E0,2.700000000E1
1.155770732E2,6.506664474E1,2.549103483E1,1.047886177E1,2.796350098E1,0.000000000E0,NaN,3.225352313E-2,9.648000717E0,4.000000000E0,2.700000000E1
1.165861656E2,6.506664630E1,2.549104123E1,1.053397670E1,2.801861572E1,0.000000000E0,NaN,3.246993594E-2,9.648000717E0,4.000000000E0,2.700000000E1
1.175868545E2,6.506664704E1,2.549104550E1,1.072886219E1,2.821350098E1,0.000000000E0,NaN,3.293753067E-2,9.648000717E0,4.000000000E0,2.700000000E1
1.185792292E2,6.506665044E1,2.549103963E1,1.097202434E1,2.845666504E1,8.600000143E-1,3.116000061E2,3.339288555E-2,9.648000717E0,4.000000000E0,2.700000000E1
1.195841793E2,6.506665243E1,2.549103114E1,1.087821159E1,2.836285400E1,0.000000000E0,NaN,3.348352640E-2,9.648000717E0,4.000000000E0,2.700000000E1
1.205815171E2,6.506665238E1,2.549102921E1,7.826148394E0,2.531079102E1,0.000000000E0,NaN,3.363297939E-2,9.648000717E0,6.000000000E0,2.900000000E1
1.215806721E2,6.506665290E1,2.549102627E1,8.136877843E0,2.562152100E1,0.000000000E0,NaN,3.407470041E-2,3.216000080E0,6.000000000E0,2.900000000E1
1.225865090E2,6.506665659E1,2.549102278E1,7.952855105E0,2.543750000E1,5.799999833E-1,3.116000061E2,3.536410147E-2,4.288000107E0,6.000000000E0,2.900000000E1
1.235908684E2,6.506666790E1,2.549102885E1,8.013642739E0,2.549829102E1,1.279999971E0,2.629999924E1,3.681410656E-2,3.216000080E0,6.000000000E0,2.700000000E1
1.245813147E2,6.506668026E1,2.549103871E1,7.019559831E0,2.450421143E1,1.129999995E0,2.629999924E1,3.863622558E-2,3.216000080E0,4.000000000E0,2.600000000E1
1.255796196E2,6.506669318E1,2.549106262E1,7.889797210E0,2.537445068E1,1.899999976E0,3.400000000E1,4.089065321E-2,3.216000080E0,4.000000000E0,2.600000000E1
1.265814021E2,6.506670943E1,2.549109138E1,8.350915299E0,2.583557129E1,1.879999995E0,3.400000000E1,4.336262839E-2,3.216000080E0,4.000000000E0,2.500000000E1
1.275791676E2,6.506672780E1,2.549112108E1,8.944906268E0,2.642956543E1,1.700000048E0,3.400000000E1,4.581069207E-2,3.216000080E0,4.000000000E0,2.700000000E1
1.285833791E2,6.506674769E1,2.549114347E1,9.634721029E0,2.711938477E1,1.850000024E0,2.200000048E0,4.796053004E-2,3.216000080E0,4.000000000E0,2.800000000E1
1.296002171E2,6.506676657E1,2.549115335E1,9.968455592E0,2.745312500E1,1.590000033E0,1.600000024E0,4.952408441E-2,3.216000080E0,4.000000000E0,2.900000000E1
1.305870121E2,6.506678052E1,2.549114916E1,9.909612169E0,2.739428711E1,1.350000024E0,3.087000122E2,5.079759384E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.315872889E2,6.506679020E1,2.549113464E1,1.043310551E1,2.791778564E1,1.240000010E0,3.085000000E2,5.199059728E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.325844916E2,6.506679671E1,2.549111441E1,1.108330831E1,2.856799316E1,1.039999962E0,3.053999939E2,5.272401257E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.335834092E2,6.506680031E1,2.549110130E1,1.179631817E1,2.928100586E1,3.600000143E-1,3.053999939E2,5.296110255E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.345833830E2,6.506679844E1,2.549109887E1,1.102556661E1,2.851025391E1,0.000000000E0,NaN,5.318322670E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.355849466E2,6.506679661E1,2.549110077E1,1.066130968E1,2.814599609E1,0.000000000E0,NaN,5.320299735E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.365848168E2,6.506679647E1,2.549110051E1,1.094298694E1,2.842767334E1,0.000000000E0,NaN,5.413368284E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.375871320E2,6.506679991E1,2.549108241E1,1.077397724E1,2.825866699E1,1.450000048E0,3.051000061E2,5.579066218E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.385828066E2,6.506680382E1,2.549104830E1,1.077488736E1,2.825958252E1,1.710000038E0,2.845000000E2,5.794363673E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.395790377E2,6.506680757E1,2.549100324E1,1.158030066E1,2.906500244E1,2.190000057E0,2.776000061E2,6.089711472E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.405784478E2,6.506680932E1,2.549094037E1,1.210989473E1,2.959460449E1,2.990000010E0,2.752999878E2,6.396596512E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.415841727E2,6.506680867E1,2.549087492E1,1.161513633E1,2.909985352E1,2.700000048E0,2.628999939E2,6.705847105E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.425879958E2,6.506680588E1,2.549080928E1,1.166987820E1,2.915460205E1,3.009999990E0,2.655000000E2,7.018887174E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.435841010E2,6.506680184E1,2.549074319E1,1.157172741E1,2.905645752E1,2.910000086E0,2.635000000E2,7.302556099E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.445837797E2,6.506679653E1,2.549068400E1,1.185455932E1,2.933929443E1,2.579999924E0,2.558000031E2,7.592905931E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.455916725E2,6.506679133E1,2.549062330E1,1.180615323E1,2.929089355E1,2.869999886E0,2.617999878E2,7.905649292E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.465857060E2,6.506678739E1,2.549055724E1,1.230877144E1,2.979351807E1,3.009999990E0,2.632000122E2,8.253033191E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.475863131E2,6.506678450E1,2.549048345E1,1.236357344E1,2.984832764E1,3.470000029E0,2.656000061E2,8.617472106E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.485821820E2,6.506678128E1,2.549040608E1,1.240714466E1,2.989190674E1,3.450000048E0,2.637999878E2,8.991698584E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.495799128E2,6.506677708E1,2.549032687E1,1.254385567E1,3.002862549E1,3.670000076E0,2.627000122E2,9.384235003E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.505865180E2,6.506677372E1,2.549024351E1,1.315731150E1,3.064208984E1,3.839999914E0,2.632999878E2,9.795831303E-2,3.216000080E0,3.000000000E0,2.900000000E1
1.515844227E2,6.506677208E1,2.549015579E1,1.399897664E1,3.148376465E1,4.030000210E0,2.641000061E2,1.019739828E-1,3.216000080E0,3.000000000E0,2.900000000E1
1.525850415E2,6.506676918E1,2.549007040E1,1.397430951E1,3.145910645E1,3.829999924E0,2.636000061E2,1.058112597E-1,3.216000080E0,3.000000000E0,2.900000000E1
1.535881091E2,6.506676461E1,2.548998926E1,1.420684563E1,3.169165039E1,3.730000019E0,2.613999939E2,1.095530114E-1,3.216000080E0,3.000000000E0,2.900000000E1
1.545859299E2,6.506675979E1,2.548991026E1,1.406517555E1,3.154998779E1,3.690000057E0,2.605000000E2,1.133592703E-1,3.216000080E0,3.000000000E0,2.900000000E1
1.555886860E2,6.506675547E1,2.548982971E1,1.406632737E1,3.155114746E1,3.789999962E0,2.612999878E2,1.173117664E-1,3.216000080E0,3.000000000E0,2.900000000E1
